ID_PER,AP4_3_1,AP4_3_2,AP4_3_3,AP4_8_1,AP4_8_2,AP4_8_3,AP4_8_4,AP4_8_5,AP4_8_6
0100644.01.02.01,1,1,1,2,2,2,2,2,2
0100644.01.03.01,2,1,1,2,2,2,2,1,2
0100644.02.01.01,1,1,1,2,1,2,2,1,2
0100644.03.01.04,1,1,1,2,2,1,1,1,2
0100644.04.01.01,2,2,2,1,2,2,2,2,9
0100644.05.01.04,1,1,1,2,2,2,2,1,2
0100657.01.01.02,2,2,2,1,2,1,1,9,9
0100657.04.01.01,1,2,2,2,2,2,2,1,9
0100657.05.01.01,2,1,1,1,2,1,1,1,9
0100661.01.01.01,1,1,1,2,1,1,1,1,1
0100661.02.01.01,1,1,1,2,1,2,2,1,2
0100661.04.01.02,1,1,1,2,2,1,2,1,2
0100661.05.01.01,2,2,2,2,2,2,2,1,1
0100663.01.01.01,2,2,2,2,1,2,2,1,2
0100663.04.01.01,1,2,2,1,1,1,2,1,1
0100674.02.01.02,1,2,2,2,2,2,2,1,2
0100674.03.01.01,2,2,2,2,2,1,2,1,2
0100674.05.01.02,2,1,1,2,2,2,2,1,9
0100699.01.01.01,2,2,2,2,1,2,1,1,2
0100699.02.01.02,1,1,1,2,1,1,1,1,2
0100699.03.01.01,1,1,1,1,1,2,2,1,2
0100699.05.01.02,2,2,2,2,1,1,2,1,2
0100703.01.01.03,1,2,2,1,1,2,1,2,2
0100703.02.01.01,1,2,2,2,1,2,2,2,2
0100703.03.01.02,1,1,1,1,1,1,2,1,2
0100703.04.01.01,1,2,2,2,1,1,2,2,2
0100703.05.01.01,2,1,1,1,1,1,1,1,2
0100729.01.01.02,1,1,1,2,1,2,2,1,2
0100729.02.01.01,1,1,1,2,2,1,2,1,2
0100729.03.01.02,1,1,1,2,1,1,2,1,2
0100729.04.01.01,2,2,2,1,2,2,2,1,2
0100729.05.01.02,2,2,1,1,1,1,2,1,1
0100732.01.01.01,2,2,2,2,1,2,1,1,1
0100732.02.01.02,1,1,1,1,1,1,2,2,2
0100732.03.01.01,1,1,1,2,1,1,2,1,2
0100732.04.01.06,2,2,2,1,1,1,1,1,1
0100732.05.01.01,2,1,1,1,1,1,1,1,1
0100733.01.01.01,1,2,2,2,2,2,2,1,2
0100733.02.01.02,1,2,2,2,2,1,2,1,1
0100733.03.01.01,2,2,2,1,2,2,2,2,2
0100733.04.01.03,1,1,1,1,2,1,2,2,9
0100737.01.01.03,2,2,2,2,2,2,9,1,9
0100737.03.01.02,2,2,2,2,2,2,2,1,1
0100737.05.01.02,2,2,2,2,2,1,2,1,2
0100743.01.01.04,2,2,2,2,1,2,1,1,1
0100743.02.01.02,2,2,2,1,1,2,1,1,1
0100743.04.01.01,1,1,1,2,2,2,2,2,9
0100743.05.01.02,1,1,2,2,1,2,2,2,2
0100747.01.01.03,2,1,2,1,1,1,1,1,3
0100747.02.01.01,2,1,1,2,2,1,1,1,1
